"id","registration","timestamp","lat","lon","altitude"
382,"EC-LGD","2023-05-18 10:25:28.649",NULL,NULL,NULL
383,"EC-MHV","2023-05-18 10:25:29.035",NULL,NULL,NULL
384,"EC-LBD","2023-05-18 10:30:24.643",NULL,NULL,NULL
385,"EC-MMF","2023-05-18 10:30:25.039",NULL,NULL,NULL
386,"EC-MDO","2023-05-18 10:30:25.394",NULL,NULL,NULL
387,"EC-IKS","2023-05-18 10:30:25.808",NULL,NULL,NULL
388,"EC-ISB","2023-05-18 10:30:26.153",NULL,NULL,NULL
389,"EC-LDF","2023-05-18 10:30:26.564",NULL,NULL,NULL
390,"EC-KXU","2023-05-18 10:30:26.982",NULL,NULL,NULL
391,"EC-ISZ","2023-05-18 10:30:27.423",NULL,NULL,NULL
392,"EC-LAR","2023-05-18 10:30:27.844",NULL,NULL,NULL
393,"EC-JMK","2023-05-18 10:30:28.275",NULL,NULL,NULL
394,"EC-LGC","2023-05-18 10:30:28.62",NULL,NULL,NULL
395,"EC-LGD","2023-05-18 10:30:28.97",NULL,NULL,NULL
396,"EC-MHV","2023-05-18 10:30:29.329",NULL,NULL,NULL
397,"EC-LBD","2023-05-18 10:35:24.606",NULL,NULL,NULL
398,"EC-MMF","2023-05-18 10:35:24.978",NULL,NULL,NULL
399,"EC-MDO","2023-05-18 10:35:25.362",NULL,NULL,NULL
400,"EC-IKS","2023-05-18 10:35:25.74",NULL,NULL,NULL
401,"EC-ISB","2023-05-18 10:35:26.087",NULL,NULL,NULL
402,"EC-LDF","2023-05-18 10:35:26.426",NULL,NULL,NULL
